journal,quartile,quartile_source
Osteoarthritis and Cartilage Open,Q1,SCImago 2025
Osteologie,Q4,SCImago 2025
Osteopathic Family Physician,Q4,SCImago 2025
Osteoporosis International,Q1,SCImago 2025
OTA International,Q2,SCImago 2025
OTO Open,Q2,SCImago 2025
Oto-Rhino-Laryngology Tokyo,Q4,SCImago 2025
Otolaryngologia Polska,Q3,SCImago 2025
Otolaryngologic Clinics of North America,Q2,SCImago 2025
Otolaryngology Case Reports,Q4,SCImago 2025
Otolaryngology - Head and Neck Surgery,Q1,SCImago 2025
Otolaryngology - Head and Neck Surgery (Japan),Q4,SCImago 2025
Otology and Neurotology,Q1,SCImago 2025
Otorhinolaryngology Clinics,Q4,SCImago 2025
Otorhinolaryngology (Italy),Q4,SCImago 2025
Oxford Medical Case Reports,Q4,SCImago 2025
Oxford Open Immunology,Q1,SCImago 2025
Oxidative Medicine and Cellular Longevity,Q1,SCImago 2025
Oxymag,Q4,SCImago 2025
P.A. Herzen Journal of Oncology,Q4,SCImago 2025
PACE - Pacing and Clinical Electrophysiology,Q3,SCImago 2025
Pacific Symposium on Biocomputing,Q3,SCImago 2025
Padiatrische Praxis,Q4,SCImago 2025
Paediatria Croatica,Q4,SCImago 2025
"Paediatria Croatica, Supplement",Q4,SCImago 2025
Paediatric Anaesthesia,Q2,SCImago 2025
Paediatric and Perinatal Epidemiology,Q1,SCImago 2025
Paediatric Respiratory Reviews,Q1,SCImago 2025
Paediatric Surgery (Ukraine),Q4,SCImago 2025
Paediatrica Indonesiana,Q3,SCImago 2025
Paediatrics and Child Health (Canada),Q2,SCImago 2025
Paediatrics and Child Health (United Kingdom),Q3,SCImago 2025
Paediatrics and International Child Health,Q2,SCImago 2025
Pain,Q1,SCImago 2025
Pain and Therapy,Q1,SCImago 2025
"Pain, Joints, Spine",Q4,SCImago 2025
Pain Management,Q2,SCImago 2025
Pain Medicine (United States),Q1,SCImago 2025
Pain Physician,Q1,SCImago 2025
Pain Practice,Q1,SCImago 2025
Pain Reports,Q1,SCImago 2025
Pain Research and Management,Q1,SCImago 2025
Pajouhan Scientific Journal,Q4,SCImago 2025
Pakistan Armed Forces Medical Journal,Q4,SCImago 2025
Pakistan Heart Journal,Q4,SCImago 2025
Pakistan Journal of Medical Sciences,Q3,SCImago 2025
Pakistan Journal of Ophthalmology,Q4,SCImago 2025
Pakistan Paediatric Journal,Q4,SCImago 2025
Palliative and Supportive Care,Q2,SCImago 2025
Palliative Medicine,Q1,SCImago 2025
Palliative Medicine in Practice,Q4,SCImago 2025
Palliative Medicine Reports,Q2,SCImago 2025
Pamukkale Journal of Sport Sciences,Q4,SCImago 2025
Pamukkale Medical Journal,Q4,SCImago 2025
Pan African Medical Journal,Q3,SCImago 2025
Pan African Medical Journal One Health,Q3,SCImago 2025
Pan-American Journal of Ophthalmology,Q4,SCImago 2025
Pancreas,Q2,SCImago 2025
Pancreatology,Q1,SCImago 2025
Paramedicine,Q2,SCImago 2025
Parasite,Q2,SCImago 2025
Parasite Epidemiology and Control,Q2,SCImago 2025
Parasites and Vectors,Q1,SCImago 2025
"Parasites, Hosts and Diseases",Q3,SCImago 2025
Parasitologia,Q3,SCImago 2025
Parasitology,Q2,SCImago 2025
Parasitology International,Q3,SCImago 2025
Parasitology Research,Q3,SCImago 2025
Parkinson's Disease,Q2,SCImago 2025
Parkinsonism and Related Disorders,Q1,SCImago 2025
Particle and Fibre Toxicology,Q1,SCImago 2025
Partner Abuse,Q3,SCImago 2025
Passer Journal of Basic and Applied Sciences,Q4,SCImago 2025
Pathobiology,Q2,SCImago 2025
Pathogens,Q2,SCImago 2025
Pathogens and Disease,Q2,SCImago 2025
Pathogens and Global Health,Q1,SCImago 2025
Pathogens and Immunity,Q2,SCImago 2025
Pathologia,Q4,SCImago 2025
Pathologica,Q1,SCImago 2025
Pathologie,Q3,SCImago 2025
Pathology,Q1,SCImago 2025
Pathology and Oncology Research,Q2,SCImago 2025
Pathology International,Q1,SCImago 2025
Pathophysiology,Q1,SCImago 2025
Patient Education and Counseling,Q1,SCImago 2025
Patient Experience Journal,Q3,SCImago 2025
Patient Preference and Adherence,Q2,SCImago 2025
Patient Safety in Surgery,Q1,SCImago 2025
Patologiya Krovoobrashcheniya i Kardiokhirurgiya,Q4,SCImago 2025
Payesh,Q4,SCImago 2025
PDA Journal of Pharmaceutical Science and Technology,Q4,SCImago 2025
PEC Innovation,Q2,SCImago 2025
Pedagogie Medicale,Q4,SCImago 2025
Pedagogy in Health Promotion,Q3,SCImago 2025
Pedagogy of Physical Culture and Sports,Q3,SCImago 2025
Pediatria de Atencion Primaria,Q4,SCImago 2025
Pediatria i Medycyna Rodzinna,Q4,SCImago 2025
Pediatria Integral,Q4,SCImago 2025
Pediatria Medica e Chirurgica,Q3,SCImago 2025
Pediatria Polska,Q4,SCImago 2025
Pediatric Allergy and Immunology,Q1,SCImago 2025
"Pediatric, Allergy, Immunology, and Pulmonology",Q3,SCImago 2025
Pediatric and Developmental Pathology,Q2,SCImago 2025
Pediatric Annals,Q3,SCImago 2025
Pediatric Blood and Cancer,Q1,SCImago 2025
Pediatric Cardiology,Q2,SCImago 2025
Pediatric Clinics of North America,Q1,SCImago 2025
Pediatric Critical Care Medicine,Q1,SCImago 2025
Pediatric Dental Journal,Q3,SCImago 2025
Pediatric Dermatology,Q2,SCImago 2025
Pediatric Diabetes,Q1,SCImago 2025
Pediatric Drugs,Q1,SCImago 2025
Pediatric Emergency Care,Q2,SCImago 2025
Pediatric emergency medicine practice,Q4,SCImago 2025
"Pediatric Endocrinology, Diabetes and Metabolism",Q2,SCImago 2025
Pediatric Exercise Science,Q2,SCImago 2025
"Pediatric Gastroenterology, Hepatology and Nutrition",Q2,SCImago 2025
Pediatric Hematology and Oncology,Q2,SCImago 2025
Pediatric Hematology/Oncology and Immunopathology,Q4,SCImago 2025
Pediatric Hematology Oncology Journal,Q3,SCImago 2025
Pediatric Infection and Vaccine,Q4,SCImago 2025
Pediatric Infectious Disease Journal,Q1,SCImago 2025
Pediatric Investigation,Q2,SCImago 2025
Pediatric Medicine,Q3,SCImago 2025
Pediatric Nephrology,Q1,SCImago 2025
Pediatric Neurology,Q2,SCImago 2025
Pediatric Neurosurgery,Q2,SCImago 2025
Pediatric Obesity,Q1,SCImago 2025
Pediatric Physical Therapy,Q3,SCImago 2025
Pediatric Pulmonology,Q1,SCImago 2025
Pediatric Quality and Safety,Q2,SCImago 2025
Pediatric Radiology,Q1,SCImago 2025
Pediatric Research,Q1,SCImago 2025
Pediatric Respiratory Journal,Q4,SCImago 2025
Pediatric Rheumatology,Q1,SCImago 2025
Pediatric Surgery International,Q2,SCImago 2025
Pediatric Transplantation,Q2,SCImago 2025
"Pediatric Traumatology, Orthopaedics and Reconstructive Surgery",Q3,SCImago 2025
Pediatricheskaya Farmakologiya,Q4,SCImago 2025
Pediatrics,Q1,SCImago 2025
Pediatrics and Neonatology,Q2,SCImago 2025
Pediatrics Eastern Europe,Q4,SCImago 2025
Pediatrics in Review,Q3,SCImago 2025
Pediatrics International,Q3,SCImago 2025
Pediatrie pro Praxi,Q4,SCImago 2025
Pediatriya - Zhurnal im G.N. Speranskogo,Q4,SCImago 2025
Pediomaternal Nursing Journal,Q4,SCImago 2025
PeerJ,Q2,SCImago 2025
Pelviperineology,Q4,SCImago 2025
Perception,Q3,SCImago 2025
Performance Enhancement and Health,Q2,SCImago 2025
Perfusion (Germany),Q4,SCImago 2025
Perfusion (United Kingdom),Q2,SCImago 2025
Perinatology,Q4,SCImago 2025
Periodicum Biologorum,Q4,SCImago 2025
Perioperative Care and Operating Room Management,Q3,SCImago 2025
Peritoneal Dialysis International,Q2,SCImago 2025
Permanente Journal,Q1,SCImago 2025
Permskij Medicinskij Zurnal,Q4,SCImago 2025
Person-Centered and Experiential Psychotherapies,Q3,SCImago 2025
Personality and Mental Health,Q1,SCImago 2025
"Personality Disorders: Theory, Research, and Treatment",Q1,SCImago 2025
Personality Neuroscience,Q3,SCImago 2025
Personalized Medicine,Q3,SCImago 2025
Personalized Medicine in Psychiatry,Q2,SCImago 2025
Perspectives in Biology and Medicine,Q3,SCImago 2025
Perspectives in Clinical Research,Q2,SCImago 2025
Perspectives in Health Information Management,Q2,SCImago 2025
Perspectives in Psychiatric Care,Q2,SCImago 2025
Perspectives in Public Health,Q2,SCImago 2025
Perspectives on Medical Education,Q1,SCImago 2025
Perspectives on Sexual and Reproductive Health,Q1,SCImago 2025
Pesquisa Brasileira em Odontopediatria e Clinica Integrada,Q3,SCImago 2025
Pest Management Science,Q2,SCImago 2025
Pesticide Biochemistry and Physiology,Q2,SCImago 2025
PET Clinics,Q2,SCImago 2025
Pflege,Q4,SCImago 2025
Pflugers Archiv European Journal of Physiology,Q2,SCImago 2025
"PHAGE: Therapy, Applications, and Research",Q3,SCImago 2025
Pharmaceutical Biology,Q1,SCImago 2025
Pharmaceutical Development and Technology,Q3,SCImago 2025
Pharmaceutical Fronts,Q3,SCImago 2025
Pharmaceutical Medicine,Q1,SCImago 2025
Pharmaceutical Patent Analyst,Q3,SCImago 2025
Pharmaceutical Research,Q2,SCImago 2025
Pharmaceutical Sciences Asia,Q4,SCImago 2025
Pharmaceutical Statistics,Q1,SCImago 2025
Pharmaceutisch Weekblad,Q4,SCImago 2025
Pharmacia,Q3,SCImago 2025
Pharmacien Clinicien,Q3,SCImago 2025
PharmacoEconomics,Q1,SCImago 2025
PharmacoEconomics - Open,Q2,SCImago 2025
Pharmacoepidemiology,Q3,SCImago 2025
Pharmacoepidemiology and Drug Safety,Q1,SCImago 2025
Pharmacogenetics and Genomics,Q3,SCImago 2025
Pharmacological Reports,Q1,SCImago 2025
Pharmacological Research - Modern Chinese Medicine,Q1,SCImago 2025
Pharmacology,Q2,SCImago 2025
Pharmacology and Therapeutics,Q1,SCImago 2025
Pharmacopsychiatry,Q2,SCImago 2025
Pharmacotherapy,Q1,SCImago 2025
Pharmacotherapy in Psychiatry and Neurology,Q4,SCImago 2025
PharmaNutrition,Q2,SCImago 2025
Pharmazeutische Zeitung,Q4,SCImago 2025
Pharmeuropa bio &amp; scientific notes,Q4,SCImago 2025
Philippine Journal of Otolaryngology Head and Neck Surgery,Q4,SCImago 2025
Philippine Journal of Pathology,Q4,SCImago 2025
Phillippine Journal of Internal Medicine,Q4,SCImago 2025
"Philosophy, Ethics, and Humanities in Medicine",Q2,SCImago 2025
"Philosophy, Psychiatry and Psychology",Q3,SCImago 2025
Phlebologie,Q4,SCImago 2025
Phlebology,Q3,SCImago 2025
Photoacoustics,Q1,SCImago 2025
"Photobiomodulation, Photomedicine, and Laser Surgery",Q3,SCImago 2025
Photochemistry and Photobiology,Q2,SCImago 2025
Photodermatology Photoimmunology and Photomedicine,Q1,SCImago 2025
Photodiagnosis and Photodynamic Therapy,Q2,SCImago 2025
Photonics,Q3,SCImago 2025
Photosynthesis Research,Q1,SCImago 2025
Physica Medica,Q2,SCImago 2025
Physical Activity and Health,Q2,SCImago 2025
Physical Activity and Nutrition,Q2,SCImago 2025
Physical Activity Review,Q3,SCImago 2025
Physical and Engineering Sciences in Medicine,Q2,SCImago 2025
Physical and Occupational Therapy in Geriatrics,Q3,SCImago 2025
Physical and Occupational Therapy in Pediatrics,Q2,SCImago 2025
Physical Education and Sport Pedagogy,Q1,SCImago 2025
Physical Education Theory and Methodology,Q3,SCImago 2025
Physical Medicine and Rehabilitation Clinics of North America,Q2,SCImago 2025
Physical Therapy in Sport,Q1,SCImago 2025
Physical Therapy Reviews,Q2,SCImago 2025
Physical Treatments,Q4,SCImago 2025
Physician and Sportsmedicine,Q2,SCImago 2025
Physician Assistant Clinics,Q4,SCImago 2025
Physics and Imaging in Radiation Oncology,Q1,SCImago 2025
Physics in Medicine,Q3,SCImago 2025
Physics in Medicine and Biology,Q2,SCImago 2025
Physics of Particles and Nuclei Letters,Q4,SCImago 2025
Physikalische Medizin Rehabilitationsmedizin Kurortmedizin,Q3,SCImago 2025
Physiologia Plantarum,Q1,SCImago 2025
Physiological Measurement,Q3,SCImago 2025
Physiological Reports,Q3,SCImago 2025
Physiological Research,Q2,SCImago 2025
Physiological Reviews,Q1,SCImago 2025
Physiologist,Q4,SCImago 2025
Physiology International,Q1,SCImago 2025
Physiotherapy Practice and Research,Q4,SCImago 2025
Physis,Q3,SCImago 2025
Phytochemical Analysis,Q1,SCImago 2025
Phytochemistry,Q2,SCImago 2025
Phytomedicine,Q1,SCImago 2025
Phytomedicine Plus,Q2,SCImago 2025
Phytopathogenic Mollicutes,Q4,SCImago 2025
Phytotherapie,Q4,SCImago 2025
Phytotherapy Journal,Q4,SCImago 2025
Piel,Q4,SCImago 2025
Pigment Cell and Melanoma Research,Q1,SCImago 2025
Pilot and Feasibility Studies,Q2,SCImago 2025
Pirogov Russian Journal of Surgery,Q4,SCImago 2025
Pituitary,Q2,SCImago 2025
Placenta,Q1,SCImago 2025
Plant and Cell Physiology,Q1,SCImago 2025
Plant Biology,Q1,SCImago 2025
Plant Cell Reports,Q1,SCImago 2025
Plant Molecular Biology,Q1,SCImago 2025
Plant Science,Q1,SCImago 2025
Planta Medica,Q2,SCImago 2025
Plasmatology,Q4,SCImago 2025
Plastic and Aesthetic Nursing,Q4,SCImago 2025
Plastic and Aesthetic Research,Q2,SCImago 2025
Plastic and Reconstructive Surgery,Q1,SCImago 2025
Plastic and Reconstructive Surgery - Global Open,Q1,SCImago 2025
Plastic Surgery,Q2,SCImago 2025
Plastic Surgery and Aesthetic Medicine,Q4,SCImago 2025
Platelets,Q1,SCImago 2025
Pleura and Peritoneum,Q3,SCImago 2025
PLOS Digital Health,Q1,SCImago 2025
PLOS Genetics,Q1,SCImago 2025
PLOS Global Public Health,Q1,SCImago 2025
PLOS Medicine,Q1,SCImago 2025
PLOS Mental Health,Q2,SCImago 2025
PLOS Neglected Tropical Diseases,Q1,SCImago 2025
PM&amp;R,Q1,SCImago 2025
Pneumologia,Q4,SCImago 2025
Pneumologie,Q4,SCImago 2025
Pneumon,Q4,SCImago 2025
Poblacion y Salud en Mesoamerica,Q4,SCImago 2025
Point of View. East-West,Q4,SCImago 2025
Policing,Q2,SCImago 2025
Policy and Internet,Q1,SCImago 2025
"Policy, Politics, and Nursing Practice",Q1,SCImago 2025
Polimery w medycynie,Q3,SCImago 2025
Polish Annals of Medicine,Q4,SCImago 2025
Polish Archives of Internal Medicine,Q2,SCImago 2025
Polish Journal of Medical Physics and Engineering,Q4,SCImago 2025
Polish Journal of Microbiology,Q3,SCImago 2025
Polish Journal of Pathology,Q3,SCImago 2025
Polish Journal of Radiology,Q3,SCImago 2025
Polish Journal of Sport and Tourism,Q3,SCImago 2025
Polish Journal of Veterinary Sciences,Q3,SCImago 2025
Polish Otorhinolaryngology Review,Q4,SCImago 2025
Polski Merkuriusz Lekarski,Q4,SCImago 2025
Polski Przeglad Chirurgiczny/ Polish Journal of Surgery,Q3,SCImago 2025
Population Health Management,Q2,SCImago 2025
Population Health Metrics,Q1,SCImago 2025
Population Medicine,Q3,SCImago 2025
Portal Hypertension and Cirrhosis,Q2,SCImago 2025
Portuguese Journal of Pediatrics,Q4,SCImago 2025
Portuguese Journal of Public Health,Q3,SCImago 2025
Post Reproductive Health,Q2,SCImago 2025
Postepy Dermatologii i Alergologii,Q2,SCImago 2025
Postepy Higieny i Medycyny Doswiadczalnej,Q4,SCImago 2025
Postepy Psychiatrii i Neurologii,Q3,SCImago 2025
Postepy w Kardiologii Interwencyjnej,Q3,SCImago 2025
Postgraduate Medical Journal,Q2,SCImago 2025
Postgraduate Medical Journal of Ghana,Q4,SCImago 2025
Postgraduate Medicine,Q2,SCImago 2025
Poultry Science,Q1,SCImago 2025
PPAR Research,Q1,SCImago 2025
PPmP Psychotherapie Psychosomatik Medizinische Psychologie,Q4,SCImago 2025
Practica Otologica,Q4,SCImago 2025
"Practica Otologica, Supplement",Q4,SCImago 2025
Practical Diabetes,Q3,SCImago 2025
Practical Gastroenterology,Q4,SCImago 2025
Practical Neurology,Q2,SCImago 2025
Practical Radiation Oncology,Q1,SCImago 2025
Practising Midwife,Q4,SCImago 2025
Practitioner,Q4,SCImago 2025
Prague Medical Report,Q4,SCImago 2025
Prakticky Lekar,Q4,SCImago 2025
Praticien en Anesthesie Reanimation,Q4,SCImago 2025
Pratique Neurologique - FMC,Q4,SCImago 2025
Pravara Medical Review,Q4,SCImago 2025
Pravention und Gesundheitsforderung,Q3,SCImago 2025
Praxis,Q4,SCImago 2025
Praxis der Kinderpsychologie und Kinderpsychiatrie,Q4,SCImago 2025
Precision Cancer Medicine,Q2,SCImago 2025
Precision Clinical Medicine,Q1,SCImago 2025
Precision Medicine and Engineering,Q2,SCImago 2025
Precision Nanomedicine,Q3,SCImago 2025
Precision Radiation Oncology,Q2,SCImago 2025
Pregnancy Hypertension,Q1,SCImago 2025
Prehospital and Disaster Medicine,Q1,SCImago 2025
Prehospital Emergency Care,Q1,SCImago 2025
Prenatal Diagnosis,Q1,SCImago 2025
Preparative Biochemistry and Biotechnology,Q3,SCImago 2025
Prescrire International,Q4,SCImago 2025
Presse Medicale,Q1,SCImago 2025
Preventing Chronic Disease,Q1,SCImago 2025
Prevention Science,Q1,SCImago 2025
Preventive Medicine,Q1,SCImago 2025
Preventive Medicine Reports,Q1,SCImago 2025
Prilozi,Q4,SCImago 2025
Primary Care - Clinics in Office Practice,Q1,SCImago 2025
Primary Care Companion for CNS Disorders,Q3,SCImago 2025
Primary Care Diabetes,Q1,SCImago 2025
Primary Dental Journal,Q4,SCImago 2025
Primary Health Care Research and Development,Q2,SCImago 2025
Prion,Q3,SCImago 2025
Problemi Endokrinnoi Patologii,Q4,SCImago 2025
Problems of Cryobiology and Cryomedicine,Q4,SCImago 2025
Problems of Forensic Sciences,Q4,SCImago 2025
Problems of Infectious and Parasitic Diseases,Q4,SCImago 2025
Problemy Endokrinologii,Q4,SCImago 2025
Problemy Osobo Opasnykh Infektsii,Q3,SCImago 2025
Problemy Radiatsiinoi Medytsyny ta Radiobiolohii,Q4,SCImago 2025
Problemy Sotsialnoi Gigieny,Q4,SCImago 2025
Proceedings of Singapore Healthcare,Q4,SCImago 2025
"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",Q3,SCImago 2025
"Proceedings of the International Conference on Big Data Computing and Communications, BIGCOM",Q4,SCImago 2025
Proceedings of the Japan Academy Series B: Physical and Biological Sciences,Q2,SCImago 2025
"Proceedings of the National Academy of Sciences of Belarus, Medical Series",Q4,SCImago 2025
Proceedings of the Nutrition Society,Q1,SCImago 2025
Proceedings of the Royal Society B: Biological Sciences,Q1,SCImago 2025
Professional Case Management,Q4,SCImago 2025
Professioni infermieristiche,Q3,SCImago 2025
Profilakticheskaya Meditsina,Q4,SCImago 2025
Programme Grants for Applied Research,Q3,SCImago 2025
Progres en Urologie - FMC,Q4,SCImago 2025
Progresos de Obstetricia y Ginecologia,Q4,SCImago 2025
Progress in Cardiovascular Diseases,Q1,SCImago 2025
"Progress in Community Health Partnerships: Research, Education, and Action",Q3,SCImago 2025
Progress in Microbes and Molecular Biology,Q3,SCImago 2025
Progress in Neurology and Psychiatry,Q4,SCImago 2025
Progress in Palliative Care,Q3,SCImago 2025
Progress in Pediatric Cardiology,Q3,SCImago 2025
Progress in Retinal and Eye Research,Q1,SCImago 2025
Progress in Transplantation,Q3,SCImago 2025
Prostate,Q1,SCImago 2025
Prostate Cancer,Q2,SCImago 2025
Prostate Cancer and Prostatic Diseases,Q1,SCImago 2025
Prostate International,Q1,SCImago 2025
Prosthesis,Q2,SCImago 2025
Prosthetics and Orthotics International,Q2,SCImago 2025
Protein and Cell,Q1,SCImago 2025
Protein and Peptide Letters,Q3,SCImago 2025
"Protein Engineering, Design and Selection",Q1,SCImago 2025
Protein Science,Q1,SCImago 2025
Protoplasma,Q2,SCImago 2025
Przeglad Dermatologiczny,Q4,SCImago 2025
Przeglad Epidemiologiczny,Q4,SCImago 2025
Przeglad Gastroenterologiczny,Q3,SCImago 2025
Przeglad Menopauzalny,Q2,SCImago 2025
Przeglad Pediatryczny,Q4,SCImago 2025
Psicooncologia,Q4,SCImago 2025
Psihoterapija,Q4,SCImago 2025
Psiquemag,Q4,SCImago 2025
Psiquiatria Biologica,Q4,SCImago 2025
Psychiatria,Q4,SCImago 2025
Psychiatria Danubina,Q3,SCImago 2025
Psychiatria Hungarica,Q4,SCImago 2025
Psychiatria i Psychologia Kliniczna,Q4,SCImago 2025
Psychiatria Polska,Q3,SCImago 2025
Psychiatric Annals,Q4,SCImago 2025
Psychiatric Clinics of North America,Q1,SCImago 2025
Psychiatric Genetics,Q3,SCImago 2025
Psychiatric Quarterly,Q1,SCImago 2025
Psychiatric Rehabilitation Journal,Q2,SCImago 2025
Psychiatric Research and Clinical Practice,Q2,SCImago 2025
Psychiatric Services,Q1,SCImago 2025
Psychiatric Times,Q4,SCImago 2025
Psychiatrie (CZE),Q4,SCImago 2025
Psychiatrikē = Psychiatriki,Q3,SCImago 2025
Psychiatrische Praxis,Q3,SCImago 2025
Psychiatry and Clinical Neurosciences,Q1,SCImago 2025
Psychiatry and Clinical Neurosciences Reports,Q3,SCImago 2025
Psychiatry and Clinical Psychopharmacology,Q3,SCImago 2025
Psychiatry International,Q3,SCImago 2025
Psychiatry Investigation,Q2,SCImago 2025
Psychiatry (Moscow),Q4,SCImago 2025
"Psychiatry, Neurology and Medical Psychology",Q4,SCImago 2025
Psychiatry (New York),Q2,SCImago 2025
"Psychiatry, Psychology and Law",Q2,SCImago 2025
"Psychiatry, Psychotherapy and Clinical Psychology",Q4,SCImago 2025
Psychiatry Research,Q1,SCImago 2025
Psychiatry Research Case Reports,Q4,SCImago 2025
Psychiatry Research Communications,Q3,SCImago 2025
Psychiatry Research - Neuroimaging,Q2,SCImago 2025
Psycho-Oncology,Q1,SCImago 2025
"Psychoanalysis, Self and Context",Q4,SCImago 2025
Psychoanalytic Psychotherapy,Q3,SCImago 2025
Psychoanalytic Quarterly,Q2,SCImago 2025
Psychoanalytic Study of the Child,Q2,SCImago 2025
Psychodynamic Psychiatry,Q3,SCImago 2025
Psychogeriatrics,Q2,SCImago 2025
Psychological Assessment,Q1,SCImago 2025
Psychological Injury and Law,Q2,SCImago 2025
Psychological Medicine,Q1,SCImago 2025
Psychological Research,Q1,SCImago 2025
Psychological Studies,Q3,SCImago 2025
Psychologie Clinique et Projective,Q4,SCImago 2025
Psychology and Aging,Q1,SCImago 2025
Psychology and Health,Q1,SCImago 2025
"Psychology and Psychotherapy: Theory, Research and Practice",Q1,SCImago 2025
"Psychology, Crime and Law",Q2,SCImago 2025
"Psychology, Health and Medicine",Q2,SCImago 2025
Psychology Hub,Q4,SCImago 2025
Psychology of Addictive Behaviors,Q1,SCImago 2025
Psychology Research and Behavior Management,Q1,SCImago 2025
Psychoneuroendocrinology,Q1,SCImago 2025
Psychopathology,Q2,SCImago 2025
Psychopharmacology Bulletin,Q3,SCImago 2025
Psychopharmakotherapie,Q4,SCImago 2025
Psychophysiology,Q1,SCImago 2025
Psychoradiology,Q1,SCImago 2025
Psychosis,Q3,SCImago 2025
Psychosomatic Medicine,Q2,SCImago 2025
Psychoterapia,Q4,SCImago 2025
Psychoterapie,Q4,SCImago 2025
Psychotherapies,Q4,SCImago 2025
Psychotherapy,Q1,SCImago 2025
Psychotherapy and Psychosomatics,Q1,SCImago 2025
Public Health,Q1,SCImago 2025
Public Health and Life Environment,Q4,SCImago 2025
Public Health Ethics,Q2,SCImago 2025
Public Health Forum,Q4,SCImago 2025
Public Health Genomics,Q2,SCImago 2025
Public Health in Practice,Q2,SCImago 2025
Public Health Nursing,Q2,SCImago 2025
Public Health Nutrition,Q1,SCImago 2025
Public Health of Indonesia,Q4,SCImago 2025
Public Health Reports,Q2,SCImago 2025
Public Health Research and Practice,Q1,SCImago 2025
Public Health Reviews,Q1,SCImago 2025
Puerto Rico Health Sciences Journal,Q4,SCImago 2025
Pulmonary Circulation,Q2,SCImago 2025
Pulmonary Medicine,Q3,SCImago 2025
Pulmonary Pharmacology and Therapeutics,Q2,SCImago 2025
Pulmonary Therapy,Q2,SCImago 2025
Pulmonologiya,Q4,SCImago 2025
Pulmonology,Q1,SCImago 2025
Qatar Medical Journal,Q3,SCImago 2025
QJM: An International Journal of Medicine,Q3,SCImago 2025
Quaderni ACP,Q4,SCImago 2025
Qualitative Health Research,Q1,SCImago 2025
Qualitative Research in Medicine and Healthcare,Q3,SCImago 2025
Quality Management in Health Care,Q2,SCImago 2025
Quality of Life Research,Q1,SCImago 2025
Quantitative Imaging in Medicine and Surgery,Q2,SCImago 2025
Quarterly Journal of Experimental Psychology,Q2,SCImago 2025
Quarterly Journal of Nuclear Medicine and Molecular Imaging,Q3,SCImago 2025
Quintessence International,Q3,SCImago 2025
Radiation,Q3,SCImago 2025
Radiation and Risk,Q4,SCImago 2025
Radiation Environment and Medicine,Q4,SCImago 2025
Radiation Medicine and Protection,Q3,SCImago 2025
Radiation Oncology,Q1,SCImago 2025
Radiation Oncology Journal,Q2,SCImago 2025
Radiation Protection Dosimetry,Q3,SCImago 2025
Radiation Research,Q2,SCImago 2025
Radiatsionnaya Biologiya. Radioekologiya,Q4,SCImago 2025
Radiatsionnaya Gygiena,Q4,SCImago 2025
Radiographics,Q1,SCImago 2025
Radiography,Q2,SCImago 2025
Radiologia,Q3,SCImago 2025
Radiologia Brasileira,Q3,SCImago 2025
Radiologia Medica,Q1,SCImago 2025
Radiologic Clinics of North America,Q2,SCImago 2025
Radiologic Technology,Q3,SCImago 2025
Radiological Physics and Technology,Q3,SCImago 2025
Radiologie,Q3,SCImago 2025
Radiology,Q1,SCImago 2025
Radiology and Oncology,Q2,SCImago 2025
Radiology: Artificial Intelligence,Q1,SCImago 2025
Radiology: Cardiothoracic Imaging,Q1,SCImago 2025
Radiology: Imaging Cancer,Q1,SCImago 2025
Radioprotection,Q3,SCImago 2025
Radiotherapy and Oncology,Q1,SCImago 2025
Rambam Maimonides Medical Journal,Q3,SCImago 2025
Rare,Q3,SCImago 2025
Rare Disease and Orphan Drugs Journal,Q3,SCImago 2025
Rare Tumors,Q3,SCImago 2025
Rational Pharmacotherapy in Cardiology,Q4,SCImago 2025
Rawal Medical Journal,Q4,SCImago 2025
"Reabilitacijos Mokslai: Slauga, Kineziterapija, Ergoterapija",Q4,SCImago 2025
REACH,Q4,SCImago 2025
Reading Teacher,Q2,SCImago 2025
REC: CardioClinics,Q4,SCImago 2025
REC: Interventional Cardiology,Q3,SCImago 2025
Recent Advances in Anti-Infective Drug Discovery,Q3,SCImago 2025
Recent Advances in Drug Delivery and Formulation,Q3,SCImago 2025
Recent Advances in Inflammation and Allergy Drug Discovery,Q3,SCImago 2025
Recent Advances in Ophthalmology,Q4,SCImago 2025
Recent Patents on Anti-Cancer Drug Discovery,Q2,SCImago 2025
Recenti Progressi in Medicina,Q4,SCImago 2025
Recherche en Soins Infirmiers,Q4,SCImago 2025
Recht und Psychiatrie,Q4,SCImago 2025
Rechtsmedizin,Q4,SCImago 2025
Redox Report,Q1,SCImago 2025
Regenerative Engineering and Translational Medicine,Q2,SCImago 2025
Regenerative Medicine,Q2,SCImago 2025
Regional Anesthesia and Acute Pain Management,Q4,SCImago 2025
Regional Anesthesia and Pain Medicine,Q1,SCImago 2025
Regulatory Toxicology and Pharmacology,Q1,SCImago 2025
Rehabilitace a Fyzikalni Lekarstvi,Q4,SCImago 2025
Rehabilitacia,Q4,SCImago 2025
Rehabilitacion,Q4,SCImago 2025
Rehabilitacja Medyczna,Q4,SCImago 2025
Rehabilitation and Recreation,Q4,SCImago 2025
Rehabilitation Counseling Bulletin,Q1,SCImago 2025
Rehabilitation Nursing,Q3,SCImago 2025
